Sun Jul 26 11:02:58 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-PCIE-40GB          Off |   00000000:17:00.0 Off |                    0 |
| N/A   26C    P0             38W /  250W |     423MiB /  40960MiB |      2%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A           10214      C   python                                  414MiB |
+-----------------------------------------------------------------------------------------+
CUDA available: True
Device count: 1
Device 0: NVIDIA A100-PCIE-40GB
Device Name: cuda
Loaded dataset: tokens (599, 36) | targets (599, 36, 3)
Loaded dataset: tokens (1399, 36) | targets (1399, 36, 3)
Epoch 2800 | Train Loss: 0.3968 | Test Loss: 0.4680 | Train Acc: 0.6021 | Test Acc: 0.5095 | Train Bit Acc: 0.7631 | Test Bit Acc: 0.6877
Epoch 2900 | Train Loss: 0.3967 | Test Loss: 0.4683 | Train Acc: 0.6104 | Test Acc: 0.5095 | Train Bit Acc: 0.7631 | Test Bit Acc: 0.6876
Epoch 3000 | Train Loss: 0.3967 | Test Loss: 0.4683 | Train Acc: 0.6007 | Test Acc: 0.5037 | Train Bit Acc: 0.7632 | Test Bit Acc: 0.6880
Epoch 3100 | Train Loss: 0.3966 | Test Loss: 0.4687 | Train Acc: 0.6008 | Test Acc: 0.4959 | Train Bit Acc: 0.7632 | Test Bit Acc: 0.6884
Epoch 3200 | Train Loss: 0.3965 | Test Loss: 0.4698 | Train Acc: 0.6049 | Test Acc: 0.5088 | Train Bit Acc: 0.7632 | Test Bit Acc: 0.6878
Epoch 3300 | Train Loss: 0.3964 | Test Loss: 0.4697 | Train Acc: 0.5999 | Test Acc: 0.4966 | Train Bit Acc: 0.7632 | Test Bit Acc: 0.6883
Epoch 3400 | Train Loss: 0.3964 | Test Loss: 0.4712 | Train Acc: 0.5987 | Test Acc: 0.4969 | Train Bit Acc: 0.7632 | Test Bit Acc: 0.6876
Epoch 3500 | Train Loss: 0.3963 | Test Loss: 0.4717 | Train Acc: 0.5983 | Test Acc: 0.4967 | Train Bit Acc: 0.7632 | Test Bit Acc: 0.6876
Epoch 3600 | Train Loss: 0.3962 | Test Loss: 0.4717 | Train Acc: 0.6104 | Test Acc: 0.5018 | Train Bit Acc: 0.7632 | Test Bit Acc: 0.6877
Epoch 3700 | Train Loss: 0.3961 | Test Loss: 0.4723 | Train Acc: 0.6105 | Test Acc: 0.5092 | Train Bit Acc: 0.7632 | Test Bit Acc: 0.6877
Epoch 3800 | Train Loss: 0.3961 | Test Loss: 0.4731 | Train Acc: 0.6096 | Test Acc: 0.5034 | Train Bit Acc: 0.7632 | Test Bit Acc: 0.6875
Epoch 3900 | Train Loss: 0.3961 | Test Loss: 0.4729 | Train Acc: 0.6101 | Test Acc: 0.5022 | Train Bit Acc: 0.7633 | Test Bit Acc: 0.6880
Epoch 4000 | Train Loss: 0.3960 | Test Loss: 0.4738 | Train Acc: 0.6027 | Test Acc: 0.5034 | Train Bit Acc: 0.7631 | Test Bit Acc: 0.6875
Epoch 4100 | Train Loss: 0.3959 | Test Loss: 0.4739 | Train Acc: 0.6001 | Test Acc: 0.5016 | Train Bit Acc: 0.7633 | Test Bit Acc: 0.6883
Epoch 4200 | Train Loss: 0.3960 | Test Loss: 0.4735 | Train Acc: 0.5931 | Test Acc: 0.4960 | Train Bit Acc: 0.7631 | Test Bit Acc: 0.6887
Epoch 4300 | Train Loss: 0.3961 | Test Loss: 0.4756 | Train Acc: 0.5907 | Test Acc: 0.5008 | Train Bit Acc: 0.7633 | Test Bit Acc: 0.6875
Epoch 4400 | Train Loss: 0.3958 | Test Loss: 0.4751 | Train Acc: 0.6113 | Test Acc: 0.5064 | Train Bit Acc: 0.7634 | Test Bit Acc: 0.6877
Epoch 4500 | Train Loss: 0.3957 | Test Loss: 0.4753 | Train Acc: 0.6043 | Test Acc: 0.5012 | Train Bit Acc: 0.7634 | Test Bit Acc: 0.6882
Epoch 4600 | Train Loss: 0.3957 | Test Loss: 0.4755 | Train Acc: 0.6051 | Test Acc: 0.5007 | Train Bit Acc: 0.7634 | Test Bit Acc: 0.6882
Epoch 4700 | Train Loss: 0.3961 | Test Loss: 0.4755 | Train Acc: 0.5753 | Test Acc: 0.5052 | Train Bit Acc: 0.7628 | Test Bit Acc: 0.6881
Epoch 4800 | Train Loss: 0.3957 | Test Loss: 0.4767 | Train Acc: 0.5984 | Test Acc: 0.4940 | Train Bit Acc: 0.7634 | Test Bit Acc: 0.6874
Epoch 4900 | Train Loss: 0.3957 | Test Loss: 0.4764 | Train Acc: 0.6018 | Test Acc: 0.5051 | Train Bit Acc: 0.7634 | Test Bit Acc: 0.6882
